九洲饭店,#genre#
饭店简介,http://soiplw2f3.hn-bkt.clouddn.com/%E9%A5%AD%E5%BA%97.mp4#http://snrbfzj25.hn-bkt.clouddn.com/%E9%A5%AD%E5%BA%97.mp4#https://objectstorageapi.bja.sealos.run/sbfoc0qj-cahi/饭店.mp4#https://d.kstore.dev/download/10141/饭店.mp4

特色频道,#genre#
生态环境,http://223.10.24.82:8084/udp/239.1.1.110:8110
生态环境,http://1.70.35.99:8084/udp/239.1.1.110:8110
生态环境,http://183.185.164.32:8083/rtp/226.0.2.120:8872
生态环境,http://110.178.42.6:8082/udp/239.1.1.110:8110
生态环境,http://120.33.185.197:4022/rtp/239.61.3.68:9926

中国天气,http://110.178.42.6:8082/udp/239.1.1.107:8107
中国天气,http://120.33.185.197:4022/rtp/239.61.2.64:8378
中国天气,http://171.104.192.8:8181/tsfile/live/1082_1.m3u8
中国天气,http://171.104.194.18:8181/tsfile/live/1082_1.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
          
重温经典,http://mtw.so/5NPX0U
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
金色学堂,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000026105/1.m3u8
金色学堂,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000061/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000061&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
东方财经,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000090/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000090&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
东方财经,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000090/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000090&IAS
东方财经,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000007000010003/1.m3u8
东方财经,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226602/index.m3u8
东方财经,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000007000010003/1.m3u8?channel-id=bestzb&Contentid=5000000007000010003&livemode=1&stbId=3
快乐垂钓,https://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz04ODI1MmM1MGQwMWQ3OWVhZjNlNGY4N2M3ZDI5OTk4OCZ1aWQ9JnV1aWQ9NzM4MmRjNTg4MTYyMjU3OGU5OWUzMmRmOWVlOThhN2YtNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTczNTA2Mzk3Nw,,/KLCDMPP360.m3u8
快乐垂钓,http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031206
快乐垂钓,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031206/1.m3u8
快乐垂钓,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031206/index.m3u8?channel-id=bestzb&Contentid=5000000011000031206&livemode=1&stbId=3
四海钓鱼,http://home.yulei.online:9999/rtp/226.0.2.123:8896#http://171.117.72.74:8001/rtp/226.0.2.123:8896#http://183.191.227.228:8083/rtp/226.0.2.123:8896#http://106.112.254.175:8989/rtp/239.254.201.185:6363

香港频道,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=cd4f33d5719ac3350ae416eb-172136354785924&wsIPSercert=8cad001f79352373fc8e0432c79c005f#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=f5b29cd871de40de7ca544f1-171499266886353&wsIPSercert=3d792996e0657f7664baae4483829055#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=9d7959a08df9f49385e6201f-171033235696189&wsIPSercert=248675b454fce6f3c4d4d83b437d5764#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=4c91883c02c3d24856fee98a-167972102859014&wsIPSercert=18cec0348f8755a359db06ef244e1d1a&wsMonitor=0#http://zhibo.hkstv.tv/livestream/mutfysrq.flv

凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw#http://61.150.67.62:9901/tsfile/live/1012_1.m3u8#http://114.105.187.147:9901/tsfile/live/1054_1.m3u8#http://114.105.187.147:9901/tsfile/live/1063_1.m3u8#https://ali.hlspull.yximgs.com/live/diyp_fh2.flv#http://ali.hlspull.yximgs.com/live/diyp_fh2.flv#https://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw

凤凰资讯,http://61.150.67.62:9901/tsfile/live/1013_1.m3u8#http://114.105.187.147:9901/tsfile/live/1064_1.m3u8#http://114.105.187.147:9901/tsfile/live/1064_1.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx#https://ali.hlspull.yximgs.com/live/diyp_fh1.flv#http://ali.hlspull.yximgs.com/live/diyp_fh1.flv#http://php.jdshipin.com/TVOD/iptv.php?id=fhzx#http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
            
无线新闻,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn#http://php.jdshipin.com:8880/smt.php?id=inews_twn#http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8#http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8#http://aktv.top/AKTV/live/aktv/null-20/AKTV.m3u8
凤凰香港,http://171.104.194.18:8181/tsfile/live/1002_1.m3u8#https://ali.hlspull.yximgs.com/live/diyp_fh3.flv#http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8

重庆频道,#genre#
重庆卫视,http://183.66.13.82:60033/tsfile/live/0018_1.m3u8
重庆卫视,http://120.33.185.197:4022/rtp/239.61.2.250:9488
重庆卫视,http://221.224.4.170:1111/tsfile/live/0142_1.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226409/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
